Variable,Bin,Points
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,"(-inf, 1680.75)",-1.3160222392838454
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,"[1680.75, 170212.50)",7.0433897165868515
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,"[170212.50, 333002.25)",8.163513954825497
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,"[333002.25, 864958.50)",10.149111222451506
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,"[864958.50, inf)",10.362843677620894
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,Special,7.3875093272873205
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,Missing,7.3875093272873205
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,"(-inf, 2429.25)",20.10420623583436
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,"[2429.25, 20103.17)",13.31344840627115
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,"[20103.17, 40246.77)",8.818496734756742
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,"[40246.77, 60479.65)",5.114786461551277
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,"[60479.65, 82970.63)",3.681644816748169
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,"[82970.63, 116833.84)",1.6857203714052642
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,"[116833.84, 193006.37)",-0.5043146023904805
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,"[193006.37, 291923.09)",0.955785251996037
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,"[291923.09, 527246.09)",2.1695262585039816
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,"[527246.09, inf)",10.484769979821614
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,Special,7.3875093272873205
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,Missing,7.3875093272873205
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,"(-inf, 264.01)",12.560962527458024
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,"[264.01, 1921.53)",4.296679222559695
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,"[1921.53, 4253.87)",2.233009126003969
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,"[4253.87, inf)",-0.0029872860677997437
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,Special,7.3875093272873205
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,Missing,7.3875093272873205
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,"(-inf, 583.79)",7.648848028419726
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,"[583.79, 5966.98)",7.070948897924731
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,"[5966.98, inf)",7.116066026167367
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,Special,7.3875093272873205
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,Missing,7.3875093272873205
BUREAU_DAYS_CREDIT_UPDATE_MEAN,"(-inf, -1047.21)",5.256524649147346
BUREAU_DAYS_CREDIT_UPDATE_MEAN,"[-1047.21, -718.04)",5.7713126776374315
BUREAU_DAYS_CREDIT_UPDATE_MEAN,"[-718.04, -641.97)",6.359813511118585
BUREAU_DAYS_CREDIT_UPDATE_MEAN,"[-641.97, -545.69)",6.588102671362213
BUREAU_DAYS_CREDIT_UPDATE_MEAN,"[-545.69, -428.58)",6.86230109977906
BUREAU_DAYS_CREDIT_UPDATE_MEAN,"[-428.58, -347.45)",7.239457112937557
BUREAU_DAYS_CREDIT_UPDATE_MEAN,"[-347.45, -248.72)",7.669347465907564
BUREAU_DAYS_CREDIT_UPDATE_MEAN,"[-248.72, -115.82)",8.228285626631726
BUREAU_DAYS_CREDIT_UPDATE_MEAN,"[-115.82, -31.38)",8.691937343533958
BUREAU_DAYS_CREDIT_UPDATE_MEAN,"[-31.38, inf)",9.140946379960763
BUREAU_DAYS_CREDIT_UPDATE_MEAN,Special,7.3875093272873205
BUREAU_DAYS_CREDIT_UPDATE_MEAN,Missing,7.3875093272873205
BUREAU_BB_MONTHS_COUNT_MEAN,"(-inf, 11.84)",8.454351615251353
BUREAU_BB_MONTHS_COUNT_MEAN,"[11.84, 19.23)",7.743750754598767
BUREAU_BB_MONTHS_COUNT_MEAN,"[19.23, 32.90)",7.199424069225546
BUREAU_BB_MONTHS_COUNT_MEAN,"[32.90, inf)",6.52862150164383
BUREAU_BB_MONTHS_COUNT_MEAN,Special,7.3875093272873205
BUREAU_BB_MONTHS_COUNT_MEAN,Missing,7.3875093272873205
BUREAU_BB_MONTHS_COUNT_SUM,"(-inf, 0.50)",8.402647693561544
BUREAU_BB_MONTHS_COUNT_SUM,"[0.50, 34.50)",3.2880276558114847
BUREAU_BB_MONTHS_COUNT_SUM,"[34.50, 114.50)",6.7121010925766065
BUREAU_BB_MONTHS_COUNT_SUM,"[114.50, 283.50)",9.181398990896392
BUREAU_BB_MONTHS_COUNT_SUM,"[283.50, inf)",10.710698039410163
BUREAU_BB_MONTHS_COUNT_SUM,Special,7.3875093272873205
BUREAU_BB_MONTHS_COUNT_SUM,Missing,7.3875093272873205
BUREAU_BB_DPD_COUNT_SUM,"(-inf, 0.50)",8.419779486995733
BUREAU_BB_DPD_COUNT_SUM,"[0.50, inf)",4.685890379036881
BUREAU_BB_DPD_COUNT_SUM,Special,7.3875093272873205
BUREAU_BB_DPD_COUNT_SUM,Missing,7.3875093272873205
BUREAU_ACTIVE_COUNT,"(-inf, 0.50)",16.871821001382273
BUREAU_ACTIVE_COUNT,"[0.50, 1.50)",10.777466034455127
BUREAU_ACTIVE_COUNT,"[1.50, 2.50)",9.549444031611365
BUREAU_ACTIVE_COUNT,"[2.50, 3.50)",6.775688676093101
BUREAU_ACTIVE_COUNT,"[3.50, 4.50)",3.4177652832755543
BUREAU_ACTIVE_COUNT,"[4.50, inf)",-3.3319818389272493
BUREAU_ACTIVE_COUNT,Special,7.3875093272873205
BUREAU_ACTIVE_COUNT,Missing,7.3875093272873205
BUREAU_CLOSED_COUNT,"(-inf, 0.50)",1.3319741701238121
